CENSO DA EDUCAÇÃO SUPERIOR 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEIAUTE DE MIGRAÇÃO – ARQUIVO ALUNO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Campo;Tamanho;"Fixo/
Variável";Tipo;Inteiro/Decimal;Preenchimento ;1ª Etapa de Validação;2ª Etapa de Validação;;;;;;;;;;;;;;;;;;;;
CABEÇALHO DO ARQUIVO - REGISTRO 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tipo de registro;2;Fixo;Numérico;Inteiro;Obrigatório;"Se o valor informado for diferente de 40, deverá aparecer a mensagem: ""Preencher com o valor 40"". ";;;;;;;;;;;;;;;;;;;;;
2;ID da IES no INEP;12;Variável;Numérico;Inteiro;Obrigatório;"Se o ID da IES no INEP for diferente do Código da IES do usuário logado, deverá aparecer a mensagem: ""O usuário que enviou o arquivo deve estar vinculado a IES [cod da IES]"" ";"Se o ID da IES no INEP não estiver cadastrado na base de dados deverá aparecer a mensagem: ""ID da IES no INEP não está cadastrado na base de dados"".

Se o usuário não possuir permissão a IES informada no campo ID da IES no INEP para realizar migração, deverá aparecer a mensagem: ""O usuário não possui acesso a IES informada"".";;;;;;;;;;;;;;;;;;;;
REGISTRO DO ALUNO - REGISTRO 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tipo de registro;2;Fixo;Numérico;Inteiro;Obrigatório;"Se o valor informado for diferente de 41, deverá aparecer a mensagem: ""Preencher com o valor 41""";;;;;;;;;;;;;;;;;;;;;
2;ID do aluno no INEP;14;Variável;Numérico;Inteiro;Opcional;O ID do Aluno é um informação opcional e não será gravada no banco de dados do Censo. A informação de ID do Aluno só é válida no arquivo de exportação.;;;;;;;;;;;;;;;;;;;;;
3;Nome;120;Variável;Alfanumérico;-;Obrigatório;"Se valores inválidos forem informados deverá apresentar a mensagem: ""Nome informado inválido.""

Todos os caracteres devem ser informados em letras.
Não pode conter nada além de (A-Za-z).";Se o primeiro nome do aluno for diferente da informação do arquivo, deverá aparecer a mensagem: “O nome do aluno informado é diferente do nome correspondente a este CPF localizado na base de dados.”.;;;;;;;;;;;;;;;;;;;;
4;CPF;11;Fixo;Alfanumérico;-;Obrigatório;"Se o CPF do aluno já foi informado em outra linha do arquivo, deverá aparecer a mensagem ""CPF já informado neste arquivo"".
Se o valor do CPF não for válido, deverá aparecer a mensagem ""Preencher com CPF válido"".";"Se o CPF não for encontrado na base de dados, deverá aparecer a mensagem: ""CPF não encontrado na base de dados"". ";;;;;;;;;;;;;;;;;;;;
5;Documento de estrangeiro ou                 passaporte;20;Variável;Alfanumérico;-;Opcional;"Se for informado o documento estrangeiro e a nacionalidade do aluno informada for diferente de ""Estrangeira"" apresentar mensagem ""Preenchimento e exclusivo para aluno estrangeiro""";;;;;;;;;;;;;;;;;;;;;
6;Data de Nascimento;8;Fixo;Data;-;Obrigatório;"Se informado com a data superior ou igual a data corrente, mensagem de erro deverá ser apresentada, ""Data não pode ser igual ou posterior à data corrente.""

Se a data de nascimento for informada com uma data inválida, mensagem de erro deverá ser apresentada, ""Data inválida"".";"Data nascimento deve ser idêntica ao encontrado na tabela do censo ou corporativa.  Caso contrário, apresentar mensagem ""A data de nascimento informada é diferente da data de nascimento correspondente a este CPF localizada na base de dados""

Se o aluno informado tiver menos de 11 anos, apresentar mensagem: ""Aluno deve ter no mínimo 11 anos para ser informado no Censo.""";;;;;;;;;;;;;;;;;;;;
7;Cor/Raça;1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
1 - Branca
2 - Preta
3 - Parda
4 - Amarela
5 - Indígena
6 - Não dispõe da informação*
0 - Aluno não quis declarar cor/raça

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1,2,3,4,5,6"".

Se a opção 6 - Não dispõe da informação for informada para aluno ingressante de semestre a partir do ano de 2014, apresentará a mensagem: ""A opção “Não dispõe da informação” não pode ser informada para ingressantes com ano de ingresso posteriores a 2014""";"Avisos (o aluno será migrado sem alteração da cor/raça):

Se a cor/raça já estiver definida com “preta, parda ou indígena” e com reserva de vagas – étnica e a cor/raça informada for diferente de vazio e da existente, deverá apresentar o aviso: “Não pode ser alterado. O aluno está vinculado a um programa de reserva de vagas étnico”.

Se a cor/raça já está definida com “branca, amarela, preta, parda ou indígena” e sem reserva de vagas – étnica e a cor/raça informada for “Aluno não quis declarar cor/raça ou Não dispõe da informação”, deverá apresentar o aviso: ""Já foi declarado anteriormente que o aluno possui a cor/raça igual a <cor/raça existente>. Não será possível efetuar a alteração” 

Se a cor/raça já está definida com “Aluno não quis declarar cor/raça” e sem reserva de vagas – étnica (em outra IES) e a cor/raça informada for “Não dispõe da informação”, deverá apresentar o aviso: “Já foi declarado anteriormente que o aluno possui a cor/raça igual a <cor/raça existente>. Não será possível efetuar a alteração”";;;;;;;;;;;;;;;;;;;;
8;Nacionalidade;1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
1 - Brasileira nata
2 - Brasileira por naturalização
3 - Estrangeira";"Aviso (o aluno será migrado sem alteração da nacionalidade):

Se aluno com forma de ingresso ""Convênio PEC-G"" alterar nacionalidade, apresentar mensagem ""Não pode ser alterado. O aluno está vinculado com forma de ingresso 'Convênio PEC-G' em outra IES"".";;;;;;;;;;;;;;;;;;;;
9;UF de nascimento;2;Fixo;Numérico;Inteiro;Condicional;"
Se informada UF e a nacionalidade for diferente de ""Brasileira nata"", apresentar mensagem ""Preenchimento exclusivo para aluno brasileiro nato"".

Se o código da UF não for um valor válido de acordo com a tabela corporativa de UF, deverá aparecer a mensagem: ""UF com código desconhecido"".


";;;;;;;;;;;;;;;;;;;;;
10;Município de nascimento;7;Fixo;Numérico;Inteiro;Opcional;"
Se informado Município e a UF de nascimento não for informado, apresentar mensagem ""Somente é possível informar o município de nascimento, se informada a UF de nascimento do aluno.""

Se informado o município de nascimento e a nacionalidade for diferente de ""Brasileira nata"", apresentar a mensagem ""Preenchimento exclusivo para aluno brasileiro nato"".

Se o código do municipio não for um valor válido de acordo com a tabela corporativa de município, deverá aparecer a mensagem: ""Município com código desconhecido"".

O município deve pertencer a UF informada no campo UF de nascimento. Caso contrário apresentar mensagem ""Município não pertence à UF"".";;;;;;;;;;;;;;;;;;;;;
11;País de origem;3;Fixo;Alfanumérico;-;Obrigatório;"Se informada a opção “1 – Brasileira Nata"" no campo Nacionalidade e não for informado o país “BRA”, deverá aparecer a mensagem: ""Preencher com 'BRA' quando aluno for brasileiro nato.”.

Se informada as opções ""2 - Brasileira por naturalização"" ou ""3 - Estrangeira"" no campo Nacionalidade e for informado o país ""BRA"", deverá aparecer a mensagem: ""Preencher com 'BRA' somente quando aluno for brasileiro nato."".

Nos demais casos, deverá ser informado o código do País de acordo com a tabela corporativa de paises ISO-3166-1. Caso contrário, apresentar mensagem ""País não encontrado.""";;;;;;;;;;;;;;;;;;;;;
