IES - CENSO DA EDUCAÇÃO SUPERIOR 2025;;;;;;;;;;;;;;;;;;;;;;;;;;
LEIAUTE DE MIGRAÇÃO – ARQUIVO  LABORATORIO;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Campo;;Tamanho;"Fixo/
Variável";Tipo;Inteiro/Decimal;Preenchimento;1ª Etapa de Validação;2ª Etapa de Validação;;;;;;;;;;;;;;;;;
CABEÇALHO DO ARQUIVO - REGISTRO 10;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tipo do registro;;2;Fixo;Numérico;Inteiro;Obrigatório;"Indica o tipo de registro informado.
Preencher com o valor 10.";;;;;;;;;;;;;;;;;;
2;ID da IES no INEP;;12;Variável;Numérico;Inteiro;Obrigatório;"Se o ID da IES no INEP for diferente do Código da IES do usuário logado, deverá aparecer a mensagem: 
""A IES do usuário logado no sistema deve ser a mesma IES informada no arquivo de importação""";"Se o ID da IES no INEP não estiver cadastrado na base de dados deverá aparecer a mensagem: ""ID da IES no INEP não está cadastrado na base de dados"".

Se o usuário não possuir permissão a IES informada no campo ID da IES no INEP para realizar migração, deverá aparecer a mensagem: ""O usuário não possui acesso a IES informada"".
";;;;;;;;;;;;;;;;;
REGISTRO DO LABORATORIO - REGISTRO 11;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tipo do registro;;2;Fixo;Numérico;Inteiro;Obrigatório;"Se o valor informado for diferente de 11, deverá aparecer a mensagem: ""Preencher com o valor 11""";;;;;;;;;;;;;;;;;;
2;Nome do laboratório na IES;;200;Variável;Alfanumérico;-;Obrigatório;"
Valores válidos: Alfanumérico (A-Z) (0-9)

Se o nome informado na Idenificação do Laboratório já existir para outro laboratório no mesmo arquivo, apresentar a mensagem: ""O nome desse laboratório está duplicado no arquivo. Não é possível ter laboratórios com o mesmo nome na IES"".

Caso já exista um laboratório com o mesmo Identificador na IES, o sistema irá editar o laboratório com os dados informados no arquivo."; ;;;;;;;;;;;;;;;;;
3;Registro do Laboratório na IES;;14;Variável;Alfanumérico;-;Opcional;"Valores válidos: Alfanumérico (A-Z) (0-9)

Campo opcional referente ao código de registro do laboratório da IES.";;;;;;;;;;;;;;;;;;
4;O laboratório esteve ativo no ano de 2025?;;1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: 0,1,"".
";;;;;;;;;;;;;;;;;;
5;Descrição das atividades do laboratório;;2000;Variável;Alfanumérico;-;Condicional;"Valores válidos: Alfanumérico (A-Z) (0-9) (também aceitar pontos finais e vírgulas, acentos, ponto e vírgula)

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
6;Palavras-Chave;;100;Variável;Alfanumérico;-;Condicional;"Valores válidos: Alfanumérico (A-Z) (0-9) (também aceitar pontos finais e vírgulas, acentos, ponto e vírgula)

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
7;O laboratório é de informática?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
8;Área de conhecimento do laboratório. Ciências Exatas e da Terra;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";"Somente é possível informar no máximo duas áreas de conhecimento, caso seja informado mais de duas áreas, apresentar mensagem:
""Somente duas áreas podem ser informadas, verifique as opções selecionadas.""";;;;;;;;;;;;;;;;;
