Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT
2;UNIVERSIDADE DE BRASÍLIA;UNB
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS
4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM
5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI
6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP
7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR
8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV
9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR
11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP
12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS
15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP
17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU
18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL
19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS
20;UNIVERSIDADE DE PASSO FUNDO;UPF
21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS
22;UNIVERSIDADE PRESBITERIANA MACKENZIE;MACKENZIE
23;UNIVERSIDADE FEEVALE;FEEVALE
24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC
26;ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS;ENCE
27;Centro Universitário UninCor;UninCor
29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE
30;UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO;UNIFENAS
31;CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG;UTRAMIG
32;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;UNCISAL
33;FACULDADE DE TECNOLOGIA DE SOROCABA;FATEC SO
34;FACULDADE DE TECNOLOGIA DE SÃO PAULO;FATEC-SP
35;"FACULDADE DE TECNOLOGIA DE AMERICANA ""MINISTRO RALPH BIASI""";FATEC-AM
36;FACULDADE DE TECNOLOGIA RUBENS LARA;FATEC-BS
37;FACULDADE DE TECNOLOGIA DE JAHU;FATEC-JAHU
38;UNIVERSIDADE DO ESTADO DO PARÁ;UEPA
40;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB
43;FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC
47;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG
54;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP
55;UNIVERSIDADE DE SÃO PAULO;USP
