Censo Superior 2025;;
Código;Nome;
1;Academia de musculação;
2;Admistração;
3;Aerotécnica;
4;Agrometerologia;
5;Agronomia;
6;Agrostologia;
7;Ambulatório médico;
8;Análise da qualidade da energia elétrica;
9;Análises clínicas;
10;Anatomia animal;
11;Anatomia humana;
12;Anatomia vegetal;
13;Aquisição de dados e processamento de sinais;
14;Arquitetura;
15;Arte gráfica e ilustração;
16;Artes cênicas;
17;Artes plásticas;
18;Asfalto;
19;Astrofísica;
20;Astronomia;
21;Áudio ;
22;Automação Industrial;
23;Avaliação física e treinamento;
24;Biofísica;
25;Biologia animal;
26;Biologia celular;
27;Biologia geral;
28;Biologia molecular;
29;Biologia vegetal;
30;Biomecânica;
31;Bioquímica;
32;Biosegurança;
33;Biotecnologia;
34;Biotério;
35;Botânica;
36;Box automotivo;
37;Brinquedoteca;
38;Bromatologia;
39;Calibração;
40;Campo de futebol;
41;Cartografia;
42;Cerâmica;
43;Ciências térmicas;
44;Cinesiologia;
45;Cinesioterapia;
46;Circuitos digitais;
47;Circuitos pneumáticos e óleo;
48;Climatologia e meteorologia;
49;Clínica;
50;Clínica de avaliação nutricional;
51;Clínica de fisioterapia;
52;Clínica de fonoaudiologia;
53;Clínica de psicologia;
54;Clínica de Terapia Ocupacional;
55;Clínica médica;
56;Clínica odontológica;
57;Clínica veterinária;
58;Comportamento animal;
59;Computação;
60;Computação gráfica;
61;Concreto;
62;Conforto ambiental;
63;Controle de qualidade;
64;Costura;
65;Cozinha experimental;
66;Cozinha industrial;
67;Cromatografia;
68;Dança;
69;Dentística restauradora;
70;Derivados agrícolas;
71;Desenho;
72;Design;
73;Design de moda;
74;Diagramação;
75;Didática;
76;Doenças infecciosas e parasitárias;
77;Editoração eletrônica;
78;Elétrica;
79;Eletricidade;
80;Eletromagnetismo;
81;Eletrônica;
82;Eletrônica analógica digital;
83;Eletrotécnica;
84;Eletroterapia;
85;Embriologia;
86;Empresa junior;
87;Enfermagem;
88;Engenharia ambiental;
89;Engenharia civil;
90;Engenharia da computação;
91;Engenharia de Pesca;
92;Ensaio de materiais;
93;Ensaios mecânicos;
94;Entomologia;
95;Ergonomia;
96;Escritório modelo;
97;Escritório modelo de Direito (prática jurídica);
98;Espaço para atividades jurídicas;
99;Espaços para esportes;
100;Estamparia;
101;Estética;
102;Estruturas, saneamentos e meio ambiente;
103;Estudos da força;
104;Eventos;
105;Fabricação assistida;
106;Farmácia;
107;Farmácia escola;
108;Farmacognosia;
109;Farmacologia;
110;Farmacotécnica;
111;Farmacotécnica homeopática;
112;Farmacotécnica/Cosmetologia ;
113;Fazenda experimental;
114;Fertilidade do solo;
115;Física;
116;Físico Química ;
117;Fisiologia animal;
118;Fisiologia do exercício ;
119;Fisiologia e Medicina do Esporte;
120;Fisiologia humana;
121;Fisiologia vegetal;
122;Fisioterapia;
123;Fisioterapia Cardiorrespiratória;
124;Fisioterapia Dermato-Funcional (Estética);
125;Fisioterapia Manipulativa;
126;Fisioterapia Neurológica;
127;Fitopatologia;
128;Fitossanidade;
129;Fonoaudiologia;
130;Formas farmacêuticas sólidas;
131;Forrageiras;
132;Fotografia;
133;gemologia;
134;Genética;
135;Geografia;
136;Geologia;
137;Geoprocessamento;
138;Ginásio poliesportivo;
139;Gravura;
140;Hematologia;
141;Hidráulica;
142;Hidroponia;
143;Hidroterapia;
144;Histologia;
145;Histopatologia;
146;História;
147;Hospital universitário;
148;Hospital veterinário;
149;Hotelaria;
150;Imagem e som;
151;Imunologia;
152;Informática;
153;Inspeção de alimentos;
154;Instalações hidrossanitárias e elétricas;
155;Instrumentação;
156;Jornalismo;
157;Laboratório empresa ;
158;Laboratórios múltiplos;
159;Línguas;
160;Litogravura;
161;Luminotécnica;
162;Madeira: tratamento, produção e produtos;
163;Manufatura integrada por computador;
164;Maquetes;
165;Máquinas e ferramentas;
166;Máquinas elétricas;
167;Máquinas hidráulicas;
168;Massoterapia;
169;Matemática;
170;Materiais de construção;
171;Material Bélico;
172;Mecânica;
173;Mecânica computacional;
174;Mecânica dos fluidos;
175;Mecânica dos solos;
176;Mecânica vibratória;
177;Mecatrônica;
178;Medidas elétricas;
179;Metalografia;
180;Metalurgia ;
181;Meteorologia;
182;Metrologia;
183;Microbiologia;
184;Microbiologia agrícola;
185;Microengenharia;
186;Microprocessadores;
187;Microscopia;
188;Mineralogia do solo;
189;Modelagem;
190;Modelos anatômicos;
191;Modelos, maquetes e plástica;
192;Monitoramento ambiental;
193;Morfologia animal;
194;Morfologia vegetal;
195;Motores à combustão;
196;Movimento humano;
197;Multimídia (multimeios);
198;Museu;
199;Música;
200;Necropsia;
201;Nutrição;
202;Nutrição animal;
203;Nutrição de plantas;
204;Oceanografia;
205;Ondas;
206;Óptica;
207;Ortodontia;
208;Ourivesaria;
209;Paleografia;
210;Paleontologia;
211;Papel e celulose;
212;Parasitologia;
213;Patologia;
214;Pavimentação;
215;Pedagogia;
216;Pintura;
217;Piscina;
218;Piscina terapêutica;
219;Plantas daninhas;
220;Plantas medicinais;
221;Processos industriais;
222;Produção de Petróleo;
223;Projeto e desenvolvimento de protótipos;
224;Projetos;
225;Prótese;
226;Prototipagem;
227;Psicologia experimental;
228;Psicoterapia;
229;Publicidade;
230;Química;
231;Química analítica;
232;Química Orgânica;
233;Quiropraxia;
234;Rádio;
235;Rádio e TV;
236;Radiologia;
237;Reabilitação cardiorrespiratória;
238;Recursos terapêuticos manuais;
239;Redação;
240;Redes de computadores;
241;Redes de telecomunicação;
242;Reeducação postural global (RPG);
243;Refrigeração;
244;Reprodução animal;
245;Restauração;
246;Robótica;
247;Sala de artes marciais;
248;Sala de ginástica;
249;Saneantes;
250;Sementes;
251;Semiologia;
252;Serigrafia;
253;Simulação de vôo;
254;Sistemas Digitais;
255;Soldagem;
256;Técnica cirúrgica;
257;Técnica dietética;
258;Técnica operatória;
259;Tecnologia da Confecção;
260;Tecnologia da informação;
261;Tecnologia de alimentos;
262;Tecnologia de sementes;
263;Tecnologia farmacêutica;
264;Tecnologia textil;
265;Telejornalismo;
266;Telemática;
267;Teologia;
268;Terapia ocupacional;
269;Termodinâmica;
270;Topografia;
271;Toxicologia;
272;Tráfego aéreo ;
273;Transportes;
274;Tratamentos térmicos;
275;Turismo;
276;TV;
277;Usinagem;
278;Veterinária;
279;Virologia;
280;Zoologia;
281;Zootecnia;
